wordForm, gloss, morpheme1, morpheme2,rootID,pos,subPos, numOfSyllables, sigma1, sigma2, initialSound,tonalPattern
o-mu-undu,person,1,,1,Noun,class 1,3,1,1,NC,All Low
βa-βaa-ndu,people,2,,1,Noun,class 2,3,1,2,NC,All Low
kú-mú-síiŋgi,foundation,3,,2,Noun,class 3,4,1,1,C,High on Noun Class Prefix & Stem-initial High
kí-mí-síiŋgi,foundations,4,,2,Noun,class 4,4,1,1,C,High on Noun Class Prefix & Stem-initial High
sii-purupuru,butterfly,5,,3,Noun,class 7,5,2,1,C,All Low
βii-purupuru,butterflies,6,,3,Noun,class 8,5,2,1,C,All Low
é-xeeŋeeŋgéle,heel,4,,4,Noun,class 9,5,1,2,C,High on Noun Class Prefix & Penultimate High
tʃí-xeeŋeeŋgéle,heels,4,,4,Noun,class 10,5,1,2,C,High on Noun Class Prefix & Penultimate High
líi-saandúku,box,5,,5,Noun,class 5,4,2,2,C,High on Noun Class Prefix & Penultimate High
ka-́ma-saandúku,boxes,5,,5,Noun,class 6,5,1,1,C,High on Noun Class Prefix & Penultimate High
kúu-βwa,dog (aug.),6,,6,Noun,class 20,2,2,1,C,High on Noun Class Prefix
kími-βwa,dogs (aug.),6,,6,Noun,class 4,3,1,1,C,High on Noun Class Prefix
xáa-βwa,dog (dim.),7,,6,Noun,class 12,2,2,1,C,High on Noun Class Prefix
βíi-βwa,dogs (dim.),7,,6,Noun,class 8,2,2,1,C,High on Noun Class Prefix
βú-βuuxi,honey,8,,7,Noun,class 14,3,1,2,V,High on Noun Class Prefix
lúu-lomo,language,9,,8,Noun,class 11,3,2,1,V,High on Noun Class Prefix
xúu-xeβul-il-a,to remember,10,,9,Verb,infinitive,5,2,1,C,High
xuu-lim-a,to dig (esp. with a hoe for farming)/cultivate,11,,10,Verb,infinitive,3,2,1,C,Low
xuu-syeeβ-a,to dance,12,,11,Verb,infinitive,3,2,2,C,Low
xúxw-eefuumalixa,to lie on stomach,17,,12,Verb,infinitive,6,1,2,C,High
xúxw-eeakala,scratch oneself,17,18,13,Verb,Reflexive,4,1,2,H,High
xúxw-eelola,be a snob/be proud,17,18,14,Verb,Reflexive,4,1,2,C,Low
xúxw-eemaɲisya,report to someone,17,18,15,Verb,Reflexive,5,1,2,C,Low
xuxw-eesaaβa,go for a short call,17,18,16,Verb,Reflexive,4,1,2,C,Low
xúxw-eeseenda,move oneself (out of the way),17,18,17,Verb,Reflexive,4,1,2,C,Low
xúxw-eesiiŋga,bathe oneself,17,18,18,Verb,Reflexive,4,1,2,C,Low
xúxw-eeyamana,accept each other,17,18,19,Verb,Reciprocal,5,1,2,C,High
xúxw-eeyeeta,help oneself/go for a long call,17,18,20,Verb,Reflexive,4,1,2,C,Low
xúxw-eeyombaxa,build oneself,17,18,21,Verb,Reflexive,5,1,2,C,High
xúxw-eeβiiya,blame oneself,17,18,22,Verb,Reflexive,4,1,2,C,High
xúxw-eexiiŋga,protect oneself,17,18,23,Verb,Reflexive,4,1,2,C,High